UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
Airtel Payments Bank,2023-04-01 00:00:00,0.8488,0.147,0.0043,0.8824,0.7,203.03
Airtel Payments Bank,2022-12-01 00:00:00,0.849,0.1455,0.0056,0.559,2.89,154.16
Andhra Pradesh Grameena Vikas Bank,2023-07-01 00:00:00,0.8492,0.1233,0.0275,1,0.051766,20.75
RBL,2023-11-01 00:00:00,0.8495,0.071,0.0795,0.44,0.23,14.75
Fincare Small Finance Bank,2024-04-01 00:00:00,0.8495,0.1446,0.0059,0.9,0.13,21.68
Fino Payments Bank,2023-09-01 00:00:00,0.8496,0.131,0.0194,0.68,0.39,96.47
Bandhan Bank,2022-07-01 00:00:00,0.8508,0.1244,0.0248,0.7734,0.26,28.23
Fincare Small Finance Bank,2024-03-01 00:00:00,0.851,0.1443,0.0047,0.9435,0.12,21.32
Fincare Small Finance Bank,2024-06-01 00:00:00,0.8512,0.1438,0.0051,0.0953,0.13,20.56
Andhra Pradesh Grameena Vikas Bank,2024-07-01 00:00:00,0.8515,0.1147,0.0338,0.69,0.13,27.69
Jammu and Kashmir Bank,2023-04-01 00:00:00,0.8516,0.0651,0.0833,0.5322,0.16,28.65
Andhra Pradesh Grameena Vikas Bank,2024-04-01 00:00:00,0.8516,0.1306,0.0178,0.7726,0.19,29.08
Fino Payments Bank,2023-06-01 00:00:00,0.8518,0.1357,0.0125,0.8893,0.26,80.47
AU Small Finance Bank,2024-07-01 00:00:00,0.8518,0.1437,0.0045,0.9152,0.08,20.27
Bandhan Bank,2022-08-01 00:00:00,0.8522,0.1095,0.0382,80.36,0.28,29.21
Rajasthan Marudhara Gramin Bank,2023-08-01 00:00:00,0.8532,0.1134,0.0333,0.46,0.1,17.16
Sarva Haryana Gramin Bank,2022-05-01 00:00:00,0.8534,0.0817,0.0649,0.1733,0.09,8.05
Central Bank of India,2024-04-01 00:00:00,0.8538,0.1079,0.0383,0.4528,3.3,200.6
Bandhan Bank,2022-04-01 00:00:00,0.8538,0.1179,0.0283,0.1792,0.19,24.1
Sarva Haryana Gramin Bank,2022-04-01 00:00:00,0.8543,0.0807,0.065,0.0509,0.11,7.33
Central Bank of India,2024-01-01 00:00:00,0.8544,0.0938,0.0518,0.7215,4.29,178.41
Bandhan Bank,2023-05-01 00:00:00,0.8545,0.1164,0.0291,0.5571,0.26,41.45
Fino Payments Bank,2023-10-01 00:00:00,0.8545,0.1177,0.0278,0.8,0.41,105.67
Baroda U.P. Bank,2023-02-01 00:00:00,0.8545,0.1215,0.0239,0.7551,0.06,8.91
Andhra Pragathi Grameena Bank,2024-08-01 00:00:00,0.8545,0.1294,0.0161,0.6142,0.09,17.78
Fincare Small Finance Bank,2023-03-01 00:00:00,0.8547,0.1075,0.0378,0.3694,0.12,8.59
Andhra Pradesh Grameena Vikas Bank,2024-06-01 00:00:00,0.8551,0.1221,0.0228,0.9907,0.2,29.53
Baroda Rajasthan Kshetriya Gramin Bank,2022-12-01 00:00:00,0.8552,0.1149,0.0299,0.4753,0.17,7.68
Pragathi Krishna Gramin Bank,2022-06-01 00:00:00,0.8556,0.1159,0.0285,0.5032,0.2,14.22
Andhra Pradesh Grameena Vikas Bank,2022-11-01 00:00:00,0.8556,0.1228,0.0216,0.354,0.12,14.66
Maharashtra Gramin Bank,2023-12-01 00:00:00,0.856,0.1075,0.0365,0.6731,0.09,22.04
Maharashtra Gramin Bank,2024-10-01 00:00:00,0.8561,0.1212,0.0227,0.54,0.18,29.85
Airtel Payments Bank,2022-08-01 00:00:00,0.8562,0.1263,0.0175,73.87,0.87,118.87
Fincare Small Finance Bank,2024-05-01 00:00:00,0.8562,0.1392,0.0046,0.8635,0.1,21.54
Bandhan Bank,2023-02-01 00:00:00,0.8565,0.1175,0.026,0.7708,0.4,33.89
YES Bank,2024-10-01 00:00:00,0.8565,0.1414,0.0021,0.6934,0.54,165.55
Baroda U.P. Bank,2023-04-01 00:00:00,0.8569,0.1093,0.0338,0.7344,0.05,11.1
Pragathi Krishna Gramin Bank,2022-03-01 00:00:00,0.8569,0.1121,0.0309,0.5431,0.15,12.54
India Post Payment Bank,2023-08-01 00:00:00,0.8569,0.1186,0.0246,0.71,0.82,194.45
Sarva Haryana Gramin Bank,2022-02-01 00:00:00,0.8573,0.1106,0.032,0.7342,0.1,5.82
Fincare Small Finance Bank,2023-05-01 00:00:00,0.8575,0.1077,0.0348,0.4065,0.04,9.89
Maharashtra Gramin Bank,2024-04-01 00:00:00,0.8576,0.117,0.0254,0.6083,0.14,25.64
Pragathi Krishna Gramin Bank,2022-07-01 00:00:00,0.8577,0.1138,0.0285,0,0.01,15.08
Bandhan Bank,2023-01-01 00:00:00,0.8578,0.0882,0.054,0.6917,0.54,35.86
Equitas Bank,2022-12-01 00:00:00,0.8578,0.1319,0.0103,0.3735,0.35,23.33
Central Bank of India,2022-09-01 00:00:00,0.8579,0.0992,0.0429,0.3793,0.85,114.42
Pragathi Krishna Gramin Bank,2022-02-01 00:00:00,0.8579,0.1082,0.0339,0.5063,0.17,10.41
Fincare Small Finance Bank,2023-09-01 00:00:00,0.8587,0.1179,0.0234,0.51,0.11,13.91
Karnataka Bank,2022-11-01 00:00:00,0.8592,0.0753,0.0655,0.8333,0.3,62.76
Pragathi Krishna Gramin Bank,2023-07-01 00:00:00,0.8592,0.1066,0.0342,1,0.052157,20.14
Airtel Payments Bank,2022-05-01 00:00:00,0.8592,0.1233,0.0175,0.7905,0.67,87.23
Andhra Pradesh Grameena Vikas Bank,2023-08-01 00:00:00,0.8593,0.1166,0.024,0.57,0.11,21.67
Andhra Pradesh Grameena Vikas Bank,2024-05-01 00:00:00,0.8593,0.1205,0.0202,0.6954,0.19,29.8
Rajasthan Marudhara Gramin Bank,2024-11-01 00:00:00,0.8594,0.118,0.0226,0.8131,0.11,26.47
India Post Payment Bank,2024-06-01 00:00:00,0.8595,0.1205,0.02,0.7165,1.44,319.04
Pragathi Krishna Gramin Bank,2022-08-01 00:00:00,0.8597,0.1115,0.0288,58.44,0.11,14.98
Central Bank of India,2024-03-01 00:00:00,0.8598,0.1069,0.0333,0.5115,2.61,200.37
Andhra Pradesh Grameena Vikas Bank,2024-10-01 00:00:00,0.8599,0.1262,0.0139,0,0.04,32.92
Karnataka Bank,2022-08-01 00:00:00,0.8601,0.0737,0.0662,17.73,0.2,58.99
Jammu and Kashmir Bank,2022-04-01 00:00:00,0.8601,0.0964,0.0435,0.5322,0.16,13.27
Andhra Pragathi Grameena Bank,2023-10-01 00:00:00,0.8603,0.1297,0.01,0.77,0.05,12.89
Maharashtra Gramin Bank,2024-05-01 00:00:00,0.8604,0.1157,0.0239,0.5765,0.12,26.27
Kerala Gramin Bank,2022-09-01 00:00:00,0.8606,0.1128,0.0266,0.6099,0.05,10.72
Jammu and Kashmir Bank,2022-05-01 00:00:00,0.8608,0.0957,0.0435,0.5738,0.17,15.3
Airtel Payments Bank,2022-01-01 00:00:00,0.8608,0.1194,0.0198,0.7295,0.59,62.35
NSDL Payments Bank,2024-11-01 00:00:00,0.8608,0.1261,0.0131,0.0611,0.2,24.28
Pragathi Krishna Gramin Bank,2022-04-01 00:00:00,0.8609,0.113,0.0261,0.5654,0.21,12.98
Sarva Haryana Gramin Bank,2024-05-01 00:00:00,0.8611,0.1206,0.0183,0.3945,0.2,20.85
Airtel Payments Bank,2022-02-01 00:00:00,0.8612,0.1237,0.0152,0.7215,0.64,61.39
Fincare Small Finance Bank,2023-08-01 00:00:00,0.8613,0.1159,0.0228,0.45,0.11,13.25
Rajasthan Marudhara Gramin Bank,2023-09-01 00:00:00,0.8617,0.1182,0.0201,0.56,0.08,16.66
Central Bank of India,2022-10-01 00:00:00,0.862,0.0942,0.0438,0.3363,0.34,119.96
India Post Payment Bank,2023-10-01 00:00:00,0.862,0.1246,0.0134,0.81,0.81,218.45
Airtel Payments Bank,2023-02-01 00:00:00,0.8621,0.1311,0.0067,0.9303,0.91,162.94
Rajasthan Marudhara Gramin Bank,2024-06-01 00:00:00,0.8622,0.1156,0.0222,0.58,0.17,25.44
Maharashtra Gramin Bank,2023-10-01 00:00:00,0.8625,0.1168,0.0207,0.64,0.09,20.84
Andhra Pradesh Grameena Vikas Bank,2024-08-01 00:00:00,0.8625,0.1284,0.0091,0.76,0.1,28.61
Punjab and Sind Bank,2022-04-01 00:00:00,0.8625,0.1298,0.0077,0.7471,0.1,13.28
Andhra Pradesh Grameena Vikas Bank,2023-09-01 00:00:00,0.8626,0.1163,0.0211,0.42,0.13,21.39
Jammu and Kashmir Bank,2022-02-01 00:00:00,0.8627,0.0924,0.0449,0.2876,0.21,10.04
Kerala Gramin Bank,2022-06-01 00:00:00,0.8627,0.1211,0.0162,0.5757,0.07,9.11
Maharashtra Gramin Bank,2024-11-01 00:00:00,0.8635,0.1255,0.0109,0.64,0.11,25.8
Airtel Payments Bank,2022-03-01 00:00:00,0.8637,0.1226,0.0137,0.7244,0.62,75.44
Maharashtra Gramin Bank,2024-08-01 00:00:00,0.8637,0.1227,0.0135,0.8489,0.09,24.99
Pragathi Krishna Gramin Bank,2023-03-01 00:00:00,0.8638,0.1022,0.034,0.7906,0.19,17.47
Equitas Bank,2022-11-01 00:00:00,0.8638,0.1309,0.0053,0.9699,0.1,21.51
India Post Payment Bank,2024-11-01 00:00:00,0.8644,0.1198,0.0158,0.682,1.8,410.33
RBL,2022-03-01 00:00:00,0.8644,0.1316,0.0041,0.8396,0.04,7.14
Central Bank of India,2023-12-01 00:00:00,0.8646,0.1195,0.0159,0.8245,1.98,177.99
Pragathi Krishna Gramin Bank,2022-11-01 00:00:00,0.8654,0.1267,0.0078,0.2184,0.2,15.27
Pragathi Krishna Gramin Bank,2023-01-01 00:00:00,0.8654,0.1268,0.0078,0.9202,0.09,16.31
Rajasthan Marudhara Gramin Bank,2024-05-01 00:00:00,0.8655,0.1129,0.0216,0.37,0.23,25.55
Andhra Pradesh Grameena Vikas Bank,2024-09-01 00:00:00,0.8657,0.1221,0.0123,0.6357,0.13,29.88
Sarva Haryana Gramin Bank,2022-10-01 00:00:00,0.8658,0.092,0.0422,0.8518,0.85,9.22
Central Bank of India,2024-11-01 00:00:00,0.8659,0.1234,0.0107,0.8064,0.9,223.46
Maharashtra Gramin Bank,2024-09-01 00:00:00,0.8661,0.1216,0.0123,0.76,0.1,25.95
Ujjivan Small Finance Bank,2022-09-01 00:00:00,0.8662,0.0705,0.0633,0.4698,0.1,18.79
Sarva Haryana Gramin Bank,2022-08-01 00:00:00,0.8662,0.1036,0.0302,75.88,0.09,8.89
Airtel Payments Bank,2023-03-01 00:00:00,0.8662,0.1309,0.003,0.9366,0.82,193.35
Rajasthan Marudhara Gramin Bank,2024-09-01 00:00:00,0.8665,0.1052,0.0283,0.6599,0.16,25.85
ESAF Small Finance Bank Ltd,2022-03-01 00:00:00,0.8668,0.1184,0.0148,0.8574,0.05,7.87
Pragathi Krishna Gramin Bank,2023-06-01 00:00:00,0.8669,0.0958,0.0373,0.535,0.19,18.72
Andhra Pradesh Grameena Vikas Bank,2024-01-01 00:00:00,0.8669,0.118,0.0151,0.5,0.18,25.95
Fincare Small Finance Bank,2024-01-01 00:00:00,0.8669,0.1238,0.0092,0.8611,0.09,17.51
Airtel Payments Bank,2022-06-01 00:00:00,0.8671,0.1153,0.0176,0.7865,1.03,90.81
Maharashtra Gramin Bank,2024-02-01 00:00:00,0.8673,0.1153,0.0175,0.82,0.09,22.28
Airtel Payments Bank,2022-07-01 00:00:00,0.8679,0.1077,0.0243,0.7732,1.34,102.04
Pragathi Krishna Gramin Bank,2022-10-01 00:00:00,0.868,0.123,0.009,0.841,0.84,15.16
Punjab and Sind Bank,2023-02-01 00:00:00,0.8681,0.1241,0.0078,0.7829,0.13,19.12
Karnataka Bank,2022-05-01 00:00:00,0.8683,0.0732,0.0585,0.2035,0.82,55.32
ESAF Small Finance Bank Ltd,2022-04-01 00:00:00,0.8683,0.1198,0.0119,0.9676,0.04,7.96
India Post Payment Bank,2024-05-01 00:00:00,0.8684,0.1247,0.007,0.8216,1.34,317.28
Central Bank of India,2024-10-01 00:00:00,0.8685,0.1222,0.0092,0.8413,1.1,241.37
Ujjivan Small Finance Bank,2022-05-01 00:00:00,0.8686,0.0748,0.0566,0.3314,0.25,15.98
Karnataka Bank,2022-09-01 00:00:00,0.8687,0.0717,0.0596,0.2461,0.22,60.11
Rajasthan Marudhara Gramin Bank,2024-08-01 00:00:00,0.8687,0.1055,0.0258,0.57,0.2,23.83
Baroda U.P. Bank,2023-06-01 00:00:00,0.8689,0.0919,0.0392,0.294,0.15,11.43
Maharashtra Gramin Bank,2023-11-01 00:00:00,0.8691,0.109,0.0219,0.71,0.07,19.82
Maharashtra Gramin Bank,2024-06-01 00:00:00,0.8697,0.1142,0.0161,0.4472,0.17,25.16
Central Bank of India,2024-06-01 00:00:00,0.8699,0.1127,0.0174,0.1358,1,202.35
Rajasthan Marudhara Gramin Bank,2024-04-01 00:00:00,0.8699,0.1202,0.0099,0.8,0.12,24.19
Fincare Small Finance Bank,2023-11-01 00:00:00,0.87,0.1111,0.0189,0.6,0.09,14.66
Airtel Payments Bank,2023-05-01 00:00:00,0.87,0.1194,0.0106,0.6363,0.64,210.36
Kerala Gramin Bank,2022-02-01 00:00:00,0.8702,0.119,0.0109,0.7684,0.06,7.02
Karnataka Bank,2022-10-01 00:00:00,0.8704,0.0732,0.0563,0.2923,0.29,62.54
Kerala Gramin Bank,2022-07-01 00:00:00,0.8707,0.1128,0.0165,0,0,9.6
Andhra Pragathi Grameena Bank,2024-02-01 00:00:00,0.8707,0.1197,0.0096,0.7919,0.07,14.92
Sarva Haryana Gramin Bank,2022-03-01 00:00:00,0.871,0.0803,0.0487,0.3798,0.11,7
Sarva Haryana Gramin Bank,2022-11-01 00:00:00,0.871,0.1098,0.0192,0.9945,0.05,9.11
Indian Bank,2022-02-01 00:00:00,0.8711,0.0659,0.063,0.347,3.55,114.49
Kerala Gramin Bank,2022-01-01 00:00:00,0.8713,0.1214,0.0073,0.8728,0.04,7.18
Ujjivan Small Finance Bank,2022-12-01 00:00:00,0.8715,0.0748,0.0536,0.4884,0.16,22.1
RBL,2023-08-01 00:00:00,0.872,0.0924,0.0356,0.69,0.13,13.67
Baroda Rajasthan Kshetriya Gramin Bank,2022-09-01 00:00:00,0.8724,0.0901,0.0374,0.5652,0.04,7.27
Central Bank of India,2024-05-01 00:00:00,0.8726,0.1116,0.0157,0.6946,1.59,206.31
Sarva Haryana Gramin Bank,2023-05-01 00:00:00,0.8728,0.0717,0.0555,0.2662,0.04,12.82
Airtel Payments Bank,2024-11-01 00:00:00,0.8728,0.1179,0.0093,0.8286,2.74,471.39
ESAF Small Finance Bank Ltd,2022-02-01 00:00:00,0.8736,0.1065,0.0199,0.8568,0.05,6.49
Airtel Payments Bank,2022-04-01 00:00:00,0.8737,0.1168,0.0094,0.8824,0.7,77.26
Central Bank of India,2024-09-01 00:00:00,0.8743,0.1113,0.0145,0.8432,1.27,219.42
Rajasthan Marudhara Gramin Bank,2023-10-01 00:00:00,0.8747,0.1185,0.0068,0.82,0.07,17.72
Pragathi Krishna Gramin Bank,2022-01-01 00:00:00,0.8748,0.1141,0.0111,0.6409,0.08,10.21
Kerala Gramin Bank,2023-08-01 00:00:00,0.8749,0.0782,0.047,0.36,0.35,21.45
Bandhan Bank,2024-01-01 00:00:00,0.8751,0.0616,0.0632,0.682,0.85,49.22
India Post Payment Bank,2024-10-01 00:00:00,0.8751,0.1124,0.0125,0.8121,1.84,434.48
RBL,2023-10-01 00:00:00,0.8752,0.0732,0.0515,0.61,0.16,14.89
Kerala Gramin Bank,2022-12-01 00:00:00,0.8755,0.1116,0.0129,0.8359,0.07,14.09
Kerala Gramin Bank,2022-08-01 00:00:00,0.8757,0.1115,0.0127,69.83,0.04,10.22
Maharashtra Gramin Bank,2024-03-01 00:00:00,0.8757,0.1161,0.0083,0.94,0.09,25.45
Punjab and Sind Bank,2023-06-01 00:00:00,0.8761,0.0961,0.0279,0.496,0.24,23.88
Pragathi Krishna Gramin Bank,2023-02-01 00:00:00,0.8761,0.1088,0.015,0.8124,0.14,15.04
City Union Bank,2022-03-01 00:00:00,0.8764,0.1006,0.0229,0.7146,0.26,17.34
Sarva Haryana Gramin Bank,2024-08-01 00:00:00,0.877,0.066,0.057,0.5255,0.33,20.33
Bandhan Bank,2022-01-01 00:00:00,0.8773,0.1099,0.0128,0.1462,0.17,19.49
Kerala Gramin Bank,2024-11-01 00:00:00,0.8774,0.0637,0.0589,0.6431,0.74,39.89
Kerala Gramin Bank,2022-03-01 00:00:00,0.8774,0.1198,0.0028,0.9143,0.04,8.23
Fincare Small Finance Bank,2023-12-01 00:00:00,0.8776,0.1147,0.0076,0.9237,0.07,16.01
Jio Payments Bank,2024-11-01 00:00:00,0.8777,0.1099,0.0124,0.9925,0.21,28.8
Kerala Gramin Bank,2022-04-01 00:00:00,0.8777,0.1175,0.0048,0.8507,0.06,8.23
Baroda Rajasthan Kshetriya Gramin Bank,2022-01-01 00:00:00,0.8779,0.0944,0.0277,0.3387,0.09,5.75
Jammu and Kashmir Bank,2022-11-01 00:00:00,0.8784,0.0664,0.0552,0.9531,0.09,21.45
Ujjivan Small Finance Bank,2022-07-01 00:00:00,0.8788,0.0839,0.0373,0.6485,0.19,16.75
Rajasthan Marudhara Gramin Bank,2023-12-01 00:00:00,0.8795,0.1082,0.0123,0.6957,0.09,18.75
India Post Payment Bank,2024-09-01 00:00:00,0.8795,0.1148,0.0058,0.933,1.3,370.25
State Bank of India,2022-06-01 00:00:00,0.8798,0.0696,0.0506,0.8461,13.07,1625.09
Tamilnad Mercantile Bank,2022-08-01 00:00:00,0.88,0.0869,0.0331,49.73,0.07,17.12
Andhra Pradesh Grameena Vikas Bank,2023-10-01 00:00:00,0.88,0.1127,0.0074,0.76,0.09,23.22
Rajasthan Marudhara Gramin Bank,2024-01-01 00:00:00,0.8802,0.1136,0.0063,0.77,0.09,20.02
Pragathi Krishna Gramin Bank,2023-08-01 00:00:00,0.8805,0.1031,0.0163,0.71,0.13,20.54
Andhra Pradesh Grameena Vikas Bank,2023-12-01 00:00:00,0.8805,0.1056,0.0139,0.7631,0.1,24.85
Karnataka Gramin Bank,2024-11-01 00:00:00,0.8807,0.0852,0.0341,0.73,0.38,30.31
Bandhan Bank,2023-03-01 00:00:00,0.8808,0.0884,0.0307,0.7998,0.42,37.63
Central Bank of India,2022-11-01 00:00:00,0.8809,0.0895,0.0296,0.9137,0.47,117.72
Central Bank of India,2023-10-01 00:00:00,0.8814,0.0957,0.0229,0.83,2.23,172.01
Central Bank of India,2023-09-01 00:00:00,0.8816,0.0899,0.0285,0.68,2.1,159.29
RBL,2022-12-01 00:00:00,0.8819,0.075,0.043,0.5649,0.09,10.28
Pragathi Krishna Gramin Bank,2024-04-01 00:00:00,0.8821,0.0807,0.0372,0.44,0.47,26.83
India Post Payment Bank,2024-08-01 00:00:00,0.8827,0.1099,0.0074,0.9101,1.73,349.66
Punjab and Sind Bank,2022-09-01 00:00:00,0.883,0.1084,0.0086,0.732,0.1,18.02
Central Bank of India,2024-07-01 00:00:00,0.8833,0.1136,0.0032,0.8937,1,211.52
Ujjivan Small Finance Bank,2022-10-01 00:00:00,0.8835,0.0667,0.0498,0.5924,0.59,19.94
Central Bank of India,2024-08-01 00:00:00,0.8836,0.1105,0.0059,0.8174,1.08,218.28
UCO Bank,2024-01-01 00:00:00,0.8837,0.0747,0.0416,0.4045,2.33,152.41
Indian Bank,2022-01-01 00:00:00,0.8838,0.0629,0.0533,0.4042,4.23,115.76
Airtel Payments Bank,2023-12-01 00:00:00,0.8841,0.0815,0.0343,0,3.34,320.02
RBL,2022-04-01 00:00:00,0.8844,0.105,0.0106,0.725,0.06,6.96
Central Bank of India,2022-06-01 00:00:00,0.8847,0.0571,0.0582,0.4595,2.74,111.89
Jammu and Kashmir Bank,2023-02-01 00:00:00,0.8847,0.0649,0.0503,0.4397,0.32,23.46
Punjab and Sind Bank,2022-11-01 00:00:00,0.8848,0.0983,0.0168,0.765,0.07,18.14
RBL,2023-09-01 00:00:00,0.8849,0.0683,0.0468,0.5,0.17,13.31
Kerala Gramin Bank,2022-10-01 00:00:00,0.885,0.1114,0.0036,0.9524,0.95,11.85
Jammu and Kashmir Bank,2022-08-01 00:00:00,0.8851,0.0703,0.0446,70.55,0.09,16.21
Baroda U.P. Bank,2024-08-01 00:00:00,0.8853,0.0879,0.0268,0.4,0.25,24.96
Punjab and Sind Bank,2022-01-01 00:00:00,0.8855,0.1108,0.0037,0.899,0.07,9.6
ESAF Small Finance Bank Ltd,2024-01-01 00:00:00,0.8857,0.0506,0.0637,0.64,0.37,20.91
AU Small Finance Bank,2024-11-01 00:00:00,0.8857,0.1123,0.002,0.9717,0.22,70.55
Central Bank of India,2022-12-01 00:00:00,0.8858,0.0987,0.0155,0.9915,0.57,128.39
Punjab and Sind Bank,2022-03-01 00:00:00,0.8858,0.109,0.0052,0.7605,0.1,12.35
Ujjivan Small Finance Bank,2023-01-01 00:00:00,0.8859,0.0697,0.0444,0.4941,0.21,22.65
Jio Payments Bank,2024-10-01 00:00:00,0.8859,0.1018,0.0123,0.99,0.26,28.23
Rajasthan Marudhara Gramin Bank,2024-02-01 00:00:00,0.886,0.1075,0.0066,0.71,0.13,20.23
Central Bank of India,2023-06-01 00:00:00,0.8861,0.0872,0.0267,0.691,1.99,146.77
Sarva Haryana Gramin Bank,2022-01-01 00:00:00,0.8863,0.0819,0.0319,0.7914,0.09,5.65
Karnataka Bank,2022-01-01 00:00:00,0.8864,0.0892,0.0244,0.3226,0.5,43.45
Punjab and Sind Bank,2022-06-01 00:00:00,0.8865,0.1005,0.013,0.7394,0.1,14.74
Pragathi Krishna Gramin Bank,2024-09-01 00:00:00,0.8868,0.0774,0.0357,0.7,0.42,28.74
Pragathi Krishna Gramin Bank,2024-02-01 00:00:00,0.8869,0.0767,0.0364,0.4313,0.38,23.1
Kerala Gramin Bank,2022-11-01 00:00:00,0.8869,0.1093,0.0037,0.4506,0.09,12.77
Kerala Gramin Bank,2023-01-01 00:00:00,0.8871,0.1047,0.0082,0.8636,0.08,14.62
Jio Payments Bank,2024-09-01 00:00:00,0.8872,0.1015,0.0113,0.9615,0.23,22.56
Central Bank of India,2023-08-01 00:00:00,0.8874,0.0913,0.0213,0.76,1.96,162.66
Canara Bank,2022-05-01 00:00:00,0.8878,0.0843,0.028,0.8293,2.72,266.56
Ujjivan Small Finance Bank,2022-02-01 00:00:00,0.888,0.0789,0.0331,0.344,0.3,11.81
Karur Vysya Bank,2022-06-01 00:00:00,0.8881,0.0987,0.0132,0.8759,0.15,35.43
Punjab and Sind Bank,2022-08-01 00:00:00,0.8881,0.1033,0.0086,76.05,0.1,17.27
Bank of Baroda,2022-12-01 00:00:00,0.8884,0.063,0.0486,0.7257,5.54,509.92
Airtel Payments Bank,2024-06-01 00:00:00,0.8887,0.1012,0.0101,0.9588,1.51,414.12
Punjab and Sind Bank,2022-05-01 00:00:00,0.8887,0.1077,0.0036,0.8689,0.08,14.58
Punjab and Sind Bank,2023-08-01 00:00:00,0.8889,0.0664,0.0448,0.36,0.36,27.25
Andhra Pradesh Grameena Vikas Bank,2023-11-01 00:00:00,0.889,0.1034,0.0076,0.77,0.07,23.04
Jammu and Kashmir Bank,2022-12-01 00:00:00,0.8891,0.0785,0.0324,0.9173,0.13,22.34
Punjab and Sind Bank,2024-03-01 00:00:00,0.8897,0.0685,0.0418,0.4118,0.65,36.91
Jammu and Kashmir Bank,2023-06-01 00:00:00,0.8897,0.0702,0.04,0.4085,0.31,30.81
Fino Payments Bank,2024-03-01 00:00:00,0.8898,0.0953,0.0148,0.7073,0.92,136.77
Equitas Bank,2023-03-01 00:00:00,0.8899,0.1043,0.0058,0.8592,0,24.63
IndusInd Bank,2024-11-01 00:00:00,0.8899,0.1073,0.0029,0.8852,0.64,172.82
State Bank of India,2023-02-01 00:00:00,0.89,0.0643,0.0457,0.8167,18.42,1987.68
Pragathi Krishna Gramin Bank,2023-04-01 00:00:00,0.8902,0.1014,0.0084,0.5654,0.21,17.59
RBL,2024-04-01 00:00:00,0.8902,0.1026,0.0072,0,0,15.1
Punjab and Sind Bank,2023-07-01 00:00:00,0.8904,0.0836,0.026,1,0.127147,25.31
IDBI Bank,2024-02-01 00:00:00,0.8905,0.0439,0.0656,0.7166,2.3,138.33
Equitas Bank,2023-02-01 00:00:00,0.8906,0.105,0.0044,0.9342,0.1,21.75
Central Bank of India,2023-04-01 00:00:00,0.8912,0.0858,0.023,0.5935,2.05,143.94
Jammu and Kashmir Bank,2022-01-01 00:00:00,0.8915,0.0941,0.0143,0.7909,0.07,9.8
City Union Bank,2022-01-01 00:00:00,0.8916,0.0649,0.0435,0.6619,0.32,14.54
IDBI Bank,2023-03-01 00:00:00,0.8917,0.0367,0.0716,0.762,1.44,111.97
RBL,2022-05-01 00:00:00,0.8918,0.0829,0.0253,0.7676,0.04,7.34
RBL,2024-05-01 00:00:00,0.8918,0.0991,0.0092,0.5447,0.09,16.38
Kerala Gramin Bank,2023-02-01 00:00:00,0.892,0.1023,0.0057,0.9107,0.07,14.21
Airtel Payments Bank,2024-07-01 00:00:00,0.8921,0.1065,0.0014,0.9376,1.61,430.92
Bandhan Bank,2023-10-01 00:00:00,0.8922,0.0971,0.0107,0.36,0.54,39.99
Tamilnad Mercantile Bank,2022-07-01 00:00:00,0.8924,0.0787,0.0288,0,0,16.46
Airtel Payments Bank,2023-06-01 00:00:00,0.8926,0.0906,0.0168,0.2574,1.23,205.13
Central Bank of India,2023-11-01 00:00:00,0.8927,0.0884,0.0188,0.85,1.82,165.88
Bandhan Bank,2022-02-01 00:00:00,0.8928,0.0968,0.0103,0.1419,0.17,19.15
Punjab and Sind Bank,2023-03-01 00:00:00,0.8929,0.0982,0.009,0.82,0.14,21.53
Jammu and Kashmir Bank,2023-03-01 00:00:00,0.8934,0.0629,0.0437,0.4389,0.3,26.67
Sarva Haryana Gramin Bank,2024-09-01 00:00:00,0.8936,0.0617,0.0447,0.2804,0.32,19.79
Rajasthan Marudhara Gramin Bank,2023-11-01 00:00:00,0.8938,0.1018,0.0045,0.82,0.06,16.9
Karnataka Bank,2023-01-01 00:00:00,0.894,0.0921,0.0139,0.7761,0.25,68.47
Airtel Payments Bank,2024-10-01 00:00:00,0.8946,0.1035,0.0019,0.9731,2.2,500.76
IDFC First Bank,2022-11-01 00:00:00,0.8948,0.0599,0.0453,0.2994,1.01,56.3
Indian Bank,2022-03-01 00:00:00,0.8949,0.0759,0.0292,0.5569,2.65,131.47
ESAF Small Finance Bank Ltd,2022-11-01 00:00:00,0.895,0.09,0.015,0.4287,0.1,11.29
The Jammu And Kashmir Bank,2024-10-01 00:00:00,0.8955,0.0502,0.0543,0.1378,1.82,78.02
Central Bank of India,2023-07-01 00:00:00,0.8955,0.0865,0.018,1,1.253073,154.1
RBL,2022-08-01 00:00:00,0.8957,0.081,0.0233,82.08,0.06,8.63
City Union Bank,2022-04-01 00:00:00,0.8957,0.0961,0.0082,0.8207,0.14,17.42
Karnataka Gramin Bank,2024-10-01 00:00:00,0.896,0.0827,0.0213,0.7923,0.36,30.87
Jammu and Kashmir Bank,2022-07-01 00:00:00,0.8961,0.0806,0.0233,0,0,14.74
ESAF Small Finance Bank Ltd,2022-10-01 00:00:00,0.8961,0.0871,0.0168,0.874,0.87,10.85
Ujjivan Small Finance Bank,2022-01-01 00:00:00,0.8962,0.0781,0.0257,0.3694,0.22,11.96
