UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
Baroda Rajasthan Kshetriya Gramin Bank,2022-05-01 00:00:00,0.7501,0.0783,0.1716,0.1846,0.26,7.2
India Post Payment Bank,2023-03-01 00:00:00,0.7527,0.2047,0.0426,0.5349,1.16,158.88
Baroda U.P. Bank,2024-04-01 00:00:00,0.7541,0.0917,0.1541,0.18,0.78,22.48
Andhra Pragathi Grameena Bank,2022-09-01 00:00:00,0.7551,0.1502,0.0947,0.8478,0.25,9.35
Andhra Pragathi Grameena Bank,2023-07-01 00:00:00,0.7558,0.1517,0.0925,0.9724,0.065589,12.2
Baroda U.P. Bank,2023-09-01 00:00:00,0.7561,0.1153,0.1286,0.22,0.53,16.05
Rajasthan Marudhara Gramin Bank,2022-01-01 00:00:00,0.7562,0.1419,0.1019,0.0737,0.32,7.57
Rajasthan Marudhara Gramin Bank,2022-05-01 00:00:00,0.7596,0.1411,0.0993,0,0.27,9.25
India Post Payment Bank,2022-01-01 00:00:00,0.7603,0.1756,0.0642,0.1573,2.33,46.7
Maharashtra Gramin Bank,2022-05-01 00:00:00,0.7612,0.1864,0.0523,0.2017,0.11,13.74
Central Bank of India,2022-07-01 00:00:00,0.7628,0.1199,0.1173,0.4499,5.9,118.89
Fino Payments Bank,2023-02-01 00:00:00,0.7637,0.1566,0.0797,0.4782,1.62,66.29
Andhra Pradesh Grameena Vikas Bank,2022-03-01 00:00:00,0.7638,0.1648,0.0714,0.0459,0.47,13.18
Sarva Haryana Gramin Bank,2022-12-01 00:00:00,0.765,0.1682,0.0668,0.9888,0.07,11.05
Rajasthan Marudhara Gramin Bank,2023-05-01 00:00:00,0.7651,0.1543,0.0806,0.3211,0.04,15.87
India Post Payment Bank,2022-05-01 00:00:00,0.7677,0.2186,0.0136,0.7111,0.47,78.09
Bandhan Bank,2022-09-01 00:00:00,0.7681,0.1957,0.0363,0.8801,0.35,32.04
Andhra Pradesh Grameena Vikas Bank,2022-04-01 00:00:00,0.769,0.1917,0.0392,0.1473,0.21,13.57
Fino Payments Bank,2022-09-01 00:00:00,0.7701,0.1514,0.0785,0.7243,0.81,49.9
ESAF Small Finance Bank Ltd,2023-02-01 00:00:00,0.7706,0.219,0.0104,0.8584,0.06,13.6
Andhra Pradesh Grameena Vikas Bank,2022-10-01 00:00:00,0.7712,0.1665,0.0623,0.1943,0.19,15.18
Andhra Pragathi Grameena Bank,2023-02-01 00:00:00,0.7717,0.1454,0.0829,0.2355,0.11,10.06
Rajasthan Marudhara Gramin Bank,2023-04-01 00:00:00,0.7719,0.1748,0.0533,0.108,0.22,15.25
Andhra Pragathi Grameena Bank,2023-03-01 00:00:00,0.7724,0.1627,0.0648,0.1647,0.12,11.75
Maharashtra Gramin Bank,2022-02-01 00:00:00,0.7738,0.1462,0.08,0.1994,0.16,10.27
Fino Payments Bank,2023-03-01 00:00:00,0.7759,0.2033,0.0208,0.6141,0.51,73.73
ESAF Small Finance Bank Ltd,2022-06-01 00:00:00,0.7762,0.1954,0.0284,0.6948,0.07,9.76
Karnataka Vikas Grameena Bank,2022-03-01 00:00:00,0.7767,0.16,0.0633,0.0683,0.25,6.36
Airtel Payments Bank,2022-10-01 00:00:00,0.7777,0.1718,0.0505,0.7161,0.72,140.51
Andhra Pragathi Grameena Bank,2022-11-01 00:00:00,0.7793,0.1706,0.0501,0.4125,0.1,9.67
Equitas Bank,2022-09-01 00:00:00,0.7794,0.1356,0.085,0.524,0.18,22.35
Maharashtra Gramin Bank,2022-04-01 00:00:00,0.7801,0.1647,0.0552,0.1755,0.22,12.86
Andhra Pragathi Grameena Bank,2022-07-01 00:00:00,0.7815,0.1764,0.0421,0.8664,0.18,9.17
Baroda U.P. Bank,2024-05-01 00:00:00,0.7817,0.0963,0.122,0.18,0.73,23.63
Andhra Pragathi Grameena Bank,2024-10-01 00:00:00,0.7827,0.1039,0.1134,0.3642,0.64,21.92
Karnataka Vikas Grameena Bank,2022-06-01 00:00:00,0.7829,0.1822,0.0349,0.4545,0.1,6.78
Fino Payments Bank,2022-08-01 00:00:00,0.7841,0.1559,0.06,66.29,0.58,46.31
Maharashtra Gramin Bank,2024-07-01 00:00:00,0.785,0.1043,0.1107,0.34,0.18,25.52
Airtel Payments Bank,2022-09-01 00:00:00,0.787,0.1819,0.0311,0.6562,0.69,131.86
Punjab and Sind Bank,2022-10-01 00:00:00,0.7883,0.1405,0.0713,0.2227,0.22,18.58
Ujjivan Small Finance Bank,2022-06-01 00:00:00,0.7884,0.0844,0.1272,0.338,0.53,16.55
Telangana Grameena bank,2022-01-01 00:00:00,0.7885,0.152,0.0596,0.0775,0.16,5.26
Baroda U.P. Bank,2023-05-01 00:00:00,0.7888,0.0972,0.114,0.195,0.05,12.32
Fino Payments Bank,2022-01-01 00:00:00,0.7889,0.1867,0.0244,0.9904,0.21,23.19
Andhra Pradesh Grameena Vikas Bank,2022-02-01 00:00:00,0.7891,0.158,0.0529,0.2153,0.12,10.71
Sarva Haryana Gramin Bank,2022-06-01 00:00:00,0.79,0.0765,0.1335,0.4018,0.21,8.27
Fino Payments Bank,2023-01-01 00:00:00,0.7903,0.1553,0.0544,0.5039,1.13,68.27
Baroda Rajasthan Kshetriya Gramin Bank,2022-08-01 00:00:00,0.7906,0.0783,0.1311,24.06,0.06,7.52
India Post Payment Bank,2022-07-01 00:00:00,0.7918,0.1759,0.0323,0.6138,0.96,84.67
Baroda U.P. Bank,2023-01-01 00:00:00,0.7921,0.1193,0.0886,0.3544,0.15,9.71
Andhra Pradesh Grameena Vikas Bank,2023-06-01 00:00:00,0.7923,0.1248,0.0829,0.5517,0.35,20.7
Rajasthan Marudhara Gramin Bank,2022-11-01 00:00:00,0.7924,0.1194,0.0883,0.9436,0.07,11.61
Rajasthan Marudhara Gramin Bank,2022-08-01 00:00:00,0.7927,0.1328,0.0744,16.22,0.04,10.48
Sarva Haryana Gramin Bank,2023-01-01 00:00:00,0.7936,0.1131,0.0933,0.4973,0.1,10.72
Fino Payments Bank,2023-07-01 00:00:00,0.794,0.154,0.0521,0.6403,0.526504,90.8
Baroda U.P. Bank,2024-02-01 00:00:00,0.7941,0.124,0.0819,0.4455,0.4,17.1
Andhra Pragathi Grameena Bank,2022-08-01 00:00:00,0.7941,0.1555,0.0504,81.74,0.14,9.05
Andhra Pragathi Grameena Bank,2024-04-01 00:00:00,0.7951,0.1458,0.0592,0.3275,0.23,18.19
Bandhan Bank,2022-06-01 00:00:00,0.7951,0.1918,0.0131,0.7051,0.2,27.4
