Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
20,India Post Payment Bank,2022-09-01 00:00:00,0.9595,0.0023,0.0109,0.0296,47.08
23,Bank of Maharashtra,2024-03-01 00:00:00,0.9597,0.0041,0.0019,0.0384,61.24
44,Rajasthan Marudhara Gramin Bank,2023-01-01 00:00:00,0.9599,0.004,0.0039,0.0323,6.82
20,UCO Bank,2023-09-01 00:00:00,0.9599,0.0051,0.008,0.032,63.35
28,Fino Payments Bank,2022-11-01 00:00:00,0.9599,0.0045,0.0208,0.0148,19.4
20,Fino Payments Bank,2024-08-01 00:00:00,0.9599,0.0006,0.0357,0.0044,85.69
43,Rajasthan Marudhara Gramin Bank,2022-12-01 00:00:00,0.96,0.0049,0.0031,0.032,6.52
48,Andhra Pragathi Grameena Bank,2023-09-01 00:00:00,0.96,0.0009,0.0055,0.0345,6.67
31,City Union Bank,2022-01-01 00:00:00,0.96,0.0026,0.0133,0.0241,9.21
22,Fino Payments Bank,2024-03-01 00:00:00,0.96,0.0019,0.0283,0.0117,63.82
3,State Bank of India,2023-02-01 00:00:00,0.9601,0.0033,0.0026,0.034,855.15
28,Fino Payments Bank,2022-10-01 00:00:00,0.9603,0.0038,0.0229,0.013,19.5
34,Equitas Bank,2023-03-01 00:00:00,0.9603,0.0008,0.0345,0.0045,12.24
28,Bandhan Bank,2023-03-01 00:00:00,0.9604,0.0017,0.0037,0.0342,23.1
35,Jammu and Kashmir Bank,2023-02-01 00:00:00,0.9605,0.0023,0.0053,0.0319,9.04
17,Central Bank of India,2024-08-01 00:00:00,0.9605,0.0021,0.0366,0.0028,109.19
34,Ujjivan Small Finance Bank,2022-07-01 00:00:00,0.9606,0.0032,0.0031,0.0331,9.71
37,Punjab and Sind Bank,2024-02-01 00:00:00,0.9607,0.0061,0.0114,0.0279,14.14
33,Tri O Tech Solutions Private Limited,2024-05-01 00:00:00,0.9607,0.0003,0.038,0.0013,24.56
40,Andhra Pradesh Grameena Vikas Bank,2023-03-01 00:00:00,0.9608,0.003,0.0011,0.0351,9.2
41,Andhra Pradesh Grameena Vikas Bank,2024-11-01 00:00:00,0.9609,0.0026,0.003,0.0361,14.47
42,Maharashtra Gramin Bank,2023-09-01 00:00:00,0.961,0.0017,0.0026,0.0364,9.4
17,Central Bank of India,2024-09-01 00:00:00,0.961,0.0052,0.0321,0.0069,125.25
42,Maharashtra Gramin Bank,2024-01-01 00:00:00,0.9611,0.0033,0.0028,0.0362,10.74
23,IDFC First Bank,2022-07-01 00:00:00,0.9611,0.0028,0.0196,0.0165,30.46
32,Tri O Tech Solutions Private Limited,2024-11-01 00:00:00,0.9611,0,0.0388,0.0001,31.76
20,UCO Bank,2024-01-01 00:00:00,0.9613,0.0065,0.0063,0.0324,73.44
50,Karnataka Vikas Grameena Bank,2022-11-01 00:00:00,0.9613,0.0025,0.0119,0.0243,3.83
48,Baroda Rajasthan Kshetriya Gramin Bank,2022-01-01 00:00:00,0.9613,0.0077,0.021,0.01,3.43
17,Central Bank of India,2023-06-01 00:00:00,0.9615,0.0081,0.0061,0.0243,73.76
24,Karnataka Bank,2023-04-01 00:00:00,0.9615,0.0102,0.0069,0.0213,33.81
30,AU Small Finance Bank,2024-03-01 00:00:00,0.9615,0.0019,0.0296,0.0089,30.19
20,Fino Payments Bank,2024-04-01 00:00:00,0.9615,0.0007,0.0318,0.0066,65.46
44,ESAF Small Finance Bank Ltd,2022-01-01 00:00:00,0.9617,0.002,0.0038,0.0326,4.22
35,Tri O Tech Solutions Private Limited,2024-02-01 00:00:00,0.9617,0.0001,0.038,0.0003,18.51
47,Rajasthan Marudhara Gramin Bank,2024-10-01 00:00:00,0.9618,0.0057,0.0048,0.0334,12.62
44,RBL,2022-03-01 00:00:00,0.9618,0.0008,0.0365,0.0009,5.13
32,Tri O Tech Solutions Private Limited,2024-09-01 00:00:00,0.9618,0,0.0381,0,28.83
22,Bank of Maharashtra,2024-02-01 00:00:00,0.9619,0.0032,0.0021,0.036,54.57
45,Fincare Small Finance Bank,2024-04-01 00:00:00,0.9619,0.0005,0.0329,0.0053,10.5
29,AU Small Finance Bank,2024-04-01 00:00:00,0.9621,0.0013,0.0306,0.0073,28.54
33,Tri O Tech Solutions Private Limited,2024-07-01 00:00:00,0.9621,0,0.0375,0.0003,25.53
32,RBL,2023-10-01 00:00:00,0.9625,0.0027,0.0144,0.0231,39.79
49,Fincare Small Finance Bank,2024-02-01 00:00:00,0.9627,0.0009,0.0329,0.0044,8.55
46,Andhra Pragathi Grameena Bank,2022-07-01 00:00:00,0.9628,0.0109,0.0066,0.0198,5.07
30,AU Small Finance Bank,2024-02-01 00:00:00,0.9628,0.001,0.0333,0.0039,26.6
33,Tri O Tech Solutions Private Limited,2024-08-01 00:00:00,0.9628,0,0.037,0.0002,27.57
45,Rajasthan Marudhara Gramin Bank,2023-07-01 00:00:00,0.9629,0.0029,0.0045,0.0327,8.2
20,Fino Payments Bank,2024-06-01 00:00:00,0.9629,0.0007,0.0329,0.0043,73.74
42,Rajasthan Marudhara Gramin Bank,2022-02-01 00:00:00,0.9633,0.0176,0.0027,0.0164,4.2
19,Fino Payments Bank,2024-10-01 00:00:00,0.9633,0.0003,0.0356,0.0011,102.43
27,Bandhan Bank,2022-11-01 00:00:00,0.9634,0.0018,0.0037,0.0311,20.13
38,Jammu and Kashmir Bank,2022-10-01 00:00:00,0.9636,0.0013,0.0062,0.0289,8.13
29,Bandhan Bank,2023-05-01 00:00:00,0.9637,0.0056,0.0015,0.0292,24.14
33,Equitas Bank,2022-07-01 00:00:00,0.9637,0.0017,0.021,0.0135,10.33
19,Fino Payments Bank,2024-09-01 00:00:00,0.9641,0.0004,0.0338,0.0021,92.64
50,Sarva UP Gramin Bank,2024-09-01 00:00:00,0.9643,0.0096,0.0051,0.0307,8.11
18,India Post Payment Bank,2022-10-01 00:00:00,0.9643,0.0022,0.0098,0.0237,54.32
49,Fincare Small Finance Bank,2024-05-01 00:00:00,0.9643,0.0006,0.0315,0.0041,10.07
18,India Post Payment Bank,2022-11-01 00:00:00,0.9645,0.002,0.0073,0.0262,56.87
24,Karnataka Bank,2023-05-01 00:00:00,0.9645,0.0005,0.0111,0.0239,34.08
49,Sarva Haryana Gramin Bank,2024-09-01 00:00:00,0.9646,0.0092,0.0035,0.0319,8.51
29,Jammu and Kashmir Bank,2024-07-01 00:00:00,0.9647,0.005,0.0028,0.0325,36.14
36,Punjab and Sind Bank,2023-08-01 00:00:00,0.9648,0.0067,0.0018,0.0333,12.65
42,Maharashtra Gramin Bank,2023-10-01 00:00:00,0.9648,0.0024,0.0047,0.0304,10.08
49,Sarva Haryana Gramin Bank,2023-04-01 00:00:00,0.9649,0.0225,0.0047,0.0079,5.53
33,Tri O Tech Solutions Private Limited,2024-06-01 00:00:00,0.9649,0.0004,0.0343,0.0009,25.21
20,Fino Payments Bank,2024-07-01 00:00:00,0.965,0.0004,0.0307,0.0043,76.94
46,Rajasthan Marudhara Gramin Bank,2023-04-01 00:00:00,0.9652,0.0112,0.0031,0.0206,7.13
45,Rajasthan Marudhara Gramin Bank,2023-06-01 00:00:00,0.9652,0.0063,0.0036,0.0249,7.36
28,Bandhan Bank,2023-02-01 00:00:00,0.9653,0.0031,0.005,0.0266,20.09
18,Central Bank of India,2024-01-01 00:00:00,0.9653,0.0121,0.005,0.0297,85.35
30,AU Small Finance Bank,2024-01-01 00:00:00,0.9653,0.0004,0.0324,0.0023,26.21
23,Bank of Maharashtra,2023-04-01 00:00:00,0.9654,0.003,0.0021,0.0295,42.01
17,Central Bank of India,2022-11-01 00:00:00,0.9654,0.0095,0.0063,0.0188,60.87
43,Maharashtra Gramin Bank,2023-04-01 00:00:00,0.9655,0.0018,0.0065,0.0261,8.21
9,Canara Bank,2022-05-01 00:00:00,0.9656,0.0045,0.005,0.0248,146.64
32,Tamilnad Mercantile Bank,2022-08-01 00:00:00,0.966,0.0029,0.0057,0.0283,11.07
37,Kerala Gramin Bank,2023-08-01 00:00:00,0.9661,0.0141,0.002,0.0319,12.41
20,Fino Payments Bank,2024-05-01 00:00:00,0.9662,0.0004,0.0319,0.0019,72.06
22,Bank of Maharashtra,2022-09-01 00:00:00,0.9663,0.0087,0.0026,0.0311,37.56
28,South Indian Bank,2024-01-01 00:00:00,0.9663,0.0002,0.0323,0.0015,31.07
24,Karnataka Bank,2023-02-01 00:00:00,0.9664,0.0021,0.0088,0.0227,29.54
13,Bank of India,2023-11-01 00:00:00,0.9665,0.0043,0.0031,0.0304,173.07
25,IDFC First Bank,2022-05-01 00:00:00,0.9667,0.0054,0.0105,0.0174,22.98
29,Bandhan Bank,2024-02-01 00:00:00,0.9668,0.0023,0.0023,0.0309,29.22
35,Ujjivan Small Finance Bank,2022-02-01 00:00:00,0.9668,0.0136,0.0042,0.0154,7.03
27,Bandhan Bank,2022-03-01 00:00:00,0.967,0.003,0.006,0.024,15.71
35,Equitas Bank,2023-05-01 00:00:00,0.967,0.0001,0.0308,0.0021,11.91
50,Karnataka Vikas Grameena Bank,2022-02-01 00:00:00,0.9671,0.0089,0.0023,0.0216,3.03
43,RBL,2022-05-01 00:00:00,0.9672,0.0009,0.0134,0.0185,5.39
42,Maharashtra Gramin Bank,2023-12-01 00:00:00,0.9673,0.0017,0.0028,0.0299,10.4
43,Rajasthan Marudhara Gramin Bank,2024-03-01 00:00:00,0.9675,0.0046,0.0047,0.0277,11.79
22,IDFC First Bank,2022-12-01 00:00:00,0.9675,0.0025,0.0139,0.0162,42.48
17,India Post Payment Bank,2023-12-01 00:00:00,0.9676,0.0025,0.0037,0.0287,108.03
29,AU Small Finance Bank,2022-09-01 00:00:00,0.9676,0.0058,0.016,0.0164,15.13
42,RBL,2022-01-01 00:00:00,0.9676,0.0005,0.0315,0.0005,4.34
27,Bandhan Bank,2022-10-01 00:00:00,0.9679,0.0008,0.0039,0.0274,19.75
16,Central Bank of India,2022-09-01 00:00:00,0.9679,0.0091,0.0069,0.0251,58.34
46,Andhra Pragathi Grameena Bank,2022-08-01 00:00:00,0.968,0.0123,0.0016,0.0303,5.2
18,India Post Payment Bank,2023-05-01 00:00:00,0.9682,0.0021,0.0048,0.0249,72.15
18,Indian Overseas Bank,2024-08-01 00:00:00,0.9686,0.0055,0.0184,0.013,107.88
11,Punjab National Bank,2022-11-01 00:00:00,0.9687,0.0071,0.0058,0.0184,163.42
30,AU Small Finance Bank,2023-12-01 00:00:00,0.9689,0.0036,0.0238,0.0073,24.92
30,CITI Bank,2022-08-01 00:00:00,0.9692,0.0021,0.0198,0.011,2.46
38,Pragathi Krishna Gramin Bank,2023-03-01 00:00:00,0.9693,0.0042,0.0026,0.0239,9.75
37,Jammu and Kashmir Bank,2022-09-01 00:00:00,0.9694,0.0014,0.0071,0.0235,7.44
28,Fino Payments Bank,2022-12-01 00:00:00,0.9694,0.0024,0.0212,0.007,20.73
40,Pragathi Krishna Gramin Bank,2024-09-01 00:00:00,0.9695,0.0102,0.0124,0.0181,13.73
43,RBL,2022-11-01 00:00:00,0.9696,0.0036,0.0155,0.0113,6
49,Sarva Haryana Gramin Bank,2023-06-01 00:00:00,0.9697,0.0034,0.0045,0.0224,5.86
41,DBS Bank,2022-09-01 00:00:00,0.9697,0.0009,0.017,0.0133,6.66
38,Jammu and Kashmir Bank,2022-12-01 00:00:00,0.9699,0.0021,0.0059,0.0221,8.83
50,Saraswat Bank,2024-04-01 00:00:00,0.9699,0.0014,0.0239,0.0062,7.64
27,Fino Payments Bank,2023-04-01 00:00:00,0.97,0.0018,0.0084,0.0199,25.5
50,Andhra Pragathi Grameena Bank,2024-05-01 00:00:00,0.9703,0.0037,0.0088,0.021,9.22
27,Bandhan Bank,2022-07-01 00:00:00,0.9707,0.0014,0.0047,0.0231,18.16
23,IDFC First Bank,2023-03-01 00:00:00,0.9707,0.0014,0.0151,0.0127,40.8
46,Jammu and Kashmir Bank,2022-01-01 00:00:00,0.9707,0.0011,0.0173,0.011,4.05
35,Jammu and Kashmir Bank,2023-03-01 00:00:00,0.9708,0.002,0.0045,0.0227,10.84
42,Maharashtra Gramin Bank,2022-12-01 00:00:00,0.9708,0.0036,0.0076,0.018,7.11
40,Andhra Pradesh Grameena Vikas Bank,2024-01-01 00:00:00,0.9708,0.0028,0.0126,0.0166,12.56
33,City Union Bank,2024-01-01 00:00:00,0.9708,0.0003,0.0267,0.0025,18.79
49,Karnataka Vikas Grameena Bank,2022-01-01 00:00:00,0.9709,0.0099,0.0088,0.0104,3.14
50,Saraswat Bank,2024-03-01 00:00:00,0.971,0.0011,0.0264,0.0027,7.84
47,ESAF Small Finance Bank Ltd,2024-02-01 00:00:00,0.9711,0.0038,0.0011,0.0278,10.16
19,Indian Overseas Bank,2022-12-01 00:00:00,0.9711,0.007,0.0023,0.0196,53.54
33,Jammu and Kashmir Bank,2023-06-01 00:00:00,0.9711,0.0031,0.0034,0.0225,13.75
12,Kotak Mahindra Bank,2023-06-01 00:00:00,0.9712,0.01,0.0041,0.0147,187.61
24,Karnataka Bank,2023-01-01 00:00:00,0.9712,0.0007,0.0072,0.0209,32.13
23,Bank of Maharashtra,2022-12-01 00:00:00,0.9713,0.0053,0.003,0.0203,40.68
23,Karnataka Bank,2022-01-01 00:00:00,0.9713,0.0067,0.0079,0.0141,23.95
44,RBL,2022-09-01 00:00:00,0.9713,0.0017,0.0183,0.0104,5.7
37,Andhra Pradesh Grameena Vikas Bank,2022-02-01 00:00:00,0.9715,0.0063,0.002,0.0203,5.9
33,Equitas Bank,2023-02-01 00:00:00,0.9715,0.0002,0.0264,0.0019,11.17
23,Bank of Maharashtra,2023-05-01 00:00:00,0.9716,0.0031,0.0034,0.022,42.41
41,Maharashtra Gramin Bank,2023-01-01 00:00:00,0.9716,0.004,0.0064,0.0179,7.54
49,Sarva Haryana Gramin Bank,2023-08-01 00:00:00,0.9717,0.0038,0.0048,0.0234,5.95
49,Sarva Haryana Gramin Bank,2023-11-01 00:00:00,0.972,0.006,0.0043,0.0237,6.55
41,Karnataka Gramin Bank,2024-07-01 00:00:00,0.972,0.0107,0.0091,0.0189,13.72
35,Equitas Bank,2023-07-01 00:00:00,0.972,0.0008,0.0208,0.0072,11.99
26,South Indian Bank,2022-05-01 00:00:00,0.9721,0.0006,0.004,0.0233,17.22
27,Bandhan Bank,2022-12-01 00:00:00,0.9722,0.0012,0.0037,0.0228,21.26
34,Jammu and Kashmir Bank,2023-12-01 00:00:00,0.9722,0.0104,0.0037,0.0241,17.46
37,Punjab and Sind Bank,2023-12-01 00:00:00,0.9723,0.0095,0.0045,0.0232,14.18
34,Ujjivan Small Finance Bank,2022-04-01 00:00:00,0.9724,0.0035,0.0032,0.0208,8.75
47,Andhra Pragathi Grameena Bank,2023-01-01 00:00:00,0.9724,0.0008,0.0056,0.0212,5.78
15,Central Bank of India,2022-01-01 00:00:00,0.9724,0.0129,0.0078,0.007,52.47
3,State Bank of India,2023-10-01 00:00:00,0.9726,0.0041,0.0028,0.0246,1183.73
32,Tamilnad Mercantile Bank,2022-07-01 00:00:00,0.9726,0.0028,0.0033,0.0213,10.64
23,Fino Payments Bank,2023-10-01 00:00:00,0.9726,0.0006,0.0069,0.0205,50.88
42,DBS Bank,2024-04-01 00:00:00,0.9726,0.0008,0.0179,0.0095,11.43
21,India Post Payment Bank,2022-07-01 00:00:00,0.9727,0.0028,0.0052,0.0193,39.12
42,Pragathi Krishna Gramin Bank,2024-11-01 00:00:00,0.9727,0.011,0.0099,0.0174,13.99
41,Pragathi Krishna Gramin Bank,2024-05-01 00:00:00,0.9727,0.0094,0.0118,0.0156,13.28
27,Fino Payments Bank,2023-03-01 00:00:00,0.9727,0.0024,0.0132,0.0141,24.05
37,Kerala Gramin Bank,2024-08-01 00:00:00,0.9728,0.0085,0.0083,0.0189,18.28
34,Ujjivan Small Finance Bank,2022-01-01 00:00:00,0.9729,0.0098,0.0051,0.0122,7.12
42,Pragathi Krishna Gramin Bank,2024-02-01 00:00:00,0.973,0.0118,0.0061,0.0209,11.61
21,UCO Bank,2022-11-01 00:00:00,0.9731,0.0045,0.0068,0.0156,44.71
21,UCO Bank,2022-09-01 00:00:00,0.9731,0.0056,0.0075,0.0194,42.56
38,Maharashtra Gramin Bank,2022-01-01 00:00:00,0.9732,0.0097,0.0036,0.0135,5.52
39,Pragathi Krishna Gramin Bank,2023-07-01 00:00:00,0.9733,0.0062,0.0035,0.0232,10.7
46,NSDL Payments Bank,2024-10-01 00:00:00,0.9733,0.0064,0.0105,0.0162,12.62
16,IndusInd Bank,2023-08-01 00:00:00,0.9734,0.0067,0.0021,0.0245,102.79
34,Equitas Bank,2022-12-01 00:00:00,0.9734,0.0011,0.0183,0.0072,11.67
14,Airtel Payments Bank,2022-09-01 00:00:00,0.9735,0.0073,0.0059,0.0206,89.35
45,RBL,2022-07-01 00:00:00,0.9736,0.0013,0.015,0.0101,5.39
14,Indian Bank,2022-04-01 00:00:00,0.9737,0.006,0.0153,0.005,73.01
45,RBL,2022-08-01 00:00:00,0.9738,0.0016,0.0146,0.0116,5.52
30,CITI Bank,2022-10-01 00:00:00,0.9738,0.0023,0.0197,0.0042,2.54
35,Equitas Bank,2023-10-01 00:00:00,0.9738,0.0001,0.0252,0.001,13.31
50,Karnataka Vikas Grameena Bank,2022-12-01 00:00:00,0.974,0.0023,0,0.0219,4.01
27,Fino Payments Bank,2023-05-01 00:00:00,0.974,0.0007,0.0104,0.0149,27.08
41,DBS Bank,2022-10-01 00:00:00,0.974,0.0025,0.0137,0.0097,6.82
37,Andhra Pradesh Grameena Vikas Bank,2022-04-01 00:00:00,0.9741,0.007,0.0018,0.0171,7.2
24,Karnataka Bank,2023-06-01 00:00:00,0.9741,0.0001,0.0102,0.0156,34.46
48,Andhra Pragathi Grameena Bank,2024-03-01 00:00:00,0.9742,0.0005,0.0068,0.019,9.12
31,Tamilnad Mercantile Bank,2023-01-01 00:00:00,0.9742,0.0018,0.0084,0.0156,13.05
38,Equitas Bank,2024-03-01 00:00:00,0.9744,0.0002,0.0228,0.0028,14.44
34,Ujjivan Small Finance Bank,2022-08-01 00:00:00,0.9746,0.0027,0.003,0.0224,10.29
39,Andhra Pradesh Grameena Vikas Bank,2022-12-01 00:00:00,0.9746,0.0039,0.0033,0.0181,8.72
17,India Post Payment Bank,2024-02-01 00:00:00,0.9746,0.0026,0.0038,0.0216,119.59
12,Kotak Mahindra Bank,2023-04-01 00:00:00,0.9746,0.0049,0.0039,0.0165,198.71
27,Bandhan Bank,2022-05-01 00:00:00,0.9746,0.0014,0.0052,0.0188,16.78
39,Andhra Pradesh Grameena Vikas Bank,2024-03-01 00:00:00,0.9746,0.003,0.0065,0.0189,13.56
30,AU Small Finance Bank,2023-05-01 00:00:00,0.9746,0.0037,0.0141,0.0076,19.21
29,AU Small Finance Bank,2022-05-01 00:00:00,0.9746,0.0019,0.0188,0.0048,13
40,Andhra Pradesh Grameena Vikas Bank,2023-01-01 00:00:00,0.9747,0.0043,0.0012,0.0197,8.77
22,Bank of Maharashtra,2024-05-01 00:00:00,0.9748,0.0042,0.0018,0.0234,62.25
35,Equitas Bank,2023-08-01 00:00:00,0.9748,0.0001,0.0208,0.0045,12.42
24,Fino Payments Bank,2024-01-01 00:00:00,0.9749,0.0007,0.0188,0.0062,45.27
35,Equitas Bank,2023-04-01 00:00:00,0.9749,0.0013,0.0198,0.004,11.69
30,CITI Bank,2022-12-01 00:00:00,0.975,0.0014,0,0.0006,12.51
25,Karnataka Bank,2023-07-01 00:00:00,0.975,0.0017,0.0072,0.0178,36.16
21,IDFC First Bank,2023-01-01 00:00:00,0.975,0.0027,0.0128,0.0095,49.12
19,Indian Overseas Bank,2023-07-01 00:00:00,0.9751,0.0083,0.0031,0.0217,63.85
47,DBS Bank,2024-05-01 00:00:00,0.9751,0.0006,0.0157,0.0092,11.22
23,Karnataka Bank,2022-04-01 00:00:00,0.9752,0.0058,0.0079,0.0111,28.15
22,IDFC First Bank,2023-04-01 00:00:00,0.9752,0.0054,0.0093,0.0101,44.42
21,UCO Bank,2022-01-01 00:00:00,0.9752,0.0047,0.0127,0.0074,28.06
17,Central Bank of India,2024-06-01 00:00:00,0.9752,0.0037,0.0146,0.0102,93.75
41,Maharashtra Gramin Bank,2024-04-01 00:00:00,0.9753,0.0029,0.0033,0.0214,11.84
23,Bank of Maharashtra,2023-01-01 00:00:00,0.9754,0.0019,0.0031,0.0196,40.78
43,Baroda U.P. Bank,2024-08-01 00:00:00,0.9754,0.006,0.0033,0.0213,12.43
39,Pragathi Krishna Gramin Bank,2024-04-01 00:00:00,0.9754,0.0121,0.004,0.0207,13.14
44,RBL,2022-02-01 00:00:00,0.9754,0.002,0.0201,0.0025,4.11
34,City Union Bank,2024-02-01 00:00:00,0.9755,0.0002,0.0213,0.0032,19.3
35,Equitas Bank,2023-11-01 00:00:00,0.9755,0,0.0237,0.0008,12.5
46,Saraswat Bank,2023-02-01 00:00:00,0.9757,0.0005,0.0029,0.0209,5.83
50,Cosmos Bank,2024-08-01 00:00:00,0.9757,0.012,0.0034,0.0209,8.61
18,Central Bank of India,2023-09-01 00:00:00,0.9757,0.0061,0.0055,0.0188,78.85
29,AU Small Finance Bank,2022-11-01 00:00:00,0.9757,0.0015,0.0207,0.0021,15.63
34,Equitas Bank,2023-06-01 00:00:00,0.9757,0.0001,0.0221,0.0021,11.38
35,Punjab and Sind Bank,2023-06-01 00:00:00,0.9758,0.0034,0.0019,0.019,10.97
36,Pragathi Krishna Gramin Bank,2022-02-01 00:00:00,0.9758,0.0085,0.0031,0.0127,6.42
46,Rajasthan Marudhara Gramin Bank,2024-09-01 00:00:00,0.9758,0.0014,0.0046,0.0197,11.31
27,Karur Vysya Bank,2024-03-01 00:00:00,0.9758,0.0021,0.0121,0.0121,35.22
34,City Union Bank,2024-09-01 00:00:00,0.9759,0.0003,0.019,0.005,24.24
49,Sarva Haryana Gramin Bank,2023-10-01 00:00:00,0.976,0.0051,0.0041,0.0199,6.75
29,AU Small Finance Bank,2023-11-01 00:00:00,0.976,0.0011,0.0224,0.0016,22.96
24,India Post Payment Bank,2022-01-01 00:00:00,0.9761,0.009,0.005,0.0099,22.84
12,Kotak Mahindra Bank,2022-12-01 00:00:00,0.9761,0.0025,0.0051,0.0163,157.66
35,City Union Bank,2024-03-01 00:00:00,0.9761,0.0004,0.0212,0.0028,21.21
28,Bandhan Bank,2023-06-01 00:00:00,0.9762,0.0039,0.0048,0.0151,23.77
42,Maharashtra Gramin Bank,2023-02-01 00:00:00,0.9762,0.0027,0.0103,0.0109,7.17
37,Punjab and Sind Bank,2024-11-01 00:00:00,0.9762,0.0001,0.0228,0.001,21.92
15,Airtel Payments Bank,2023-12-01 00:00:00,0.9763,0.0059,0.0043,0.0194,174.41
41,Kerala Gramin Bank,2022-05-01 00:00:00,0.9764,0.0057,0.0034,0.0146,5.92
18,Central Bank of India,2023-10-01 00:00:00,0.9764,0.0053,0.0064,0.0172,84.25
10,Punjab National Bank,2022-09-01 00:00:00,0.9764,0.0035,0.0066,0.017,158.47
34,Equitas Bank,2022-11-01 00:00:00,0.9764,0.0002,0.0188,0.0046,10.67
42,Maharashtra Gramin Bank,2024-05-01 00:00:00,0.9765,0.0039,0.0035,0.0201,12.25
49,Sarva Haryana Gramin Bank,2023-03-01 00:00:00,0.9765,0.0028,0.0062,0.0145,5.36
36,Equitas Bank,2023-09-01 00:00:00,0.9765,0.0002,0.0202,0.0032,12.19
30,AU Small Finance Bank,2022-04-01 00:00:00,0.9765,0.0009,0.0223,0.0004,12.43
38,DBS Bank,2022-07-01 00:00:00,0.9766,0.0004,0.0212,0.0018,6.85
18,India Post Payment Bank,2023-03-01 00:00:00,0.9767,0.0009,0.006,0.0164,66.53
24,Fino Payments Bank,2023-12-01 00:00:00,0.9767,0.0005,0.0133,0.01,50.18
44,RBL,2022-06-01 00:00:00,0.9767,0.0006,0.0144,0.0083,5.22
41,DBS Bank,2023-10-01 00:00:00,0.9767,0.0004,0.0169,0.0064,10
4,Axis Bank,2022-07-01 00:00:00,0.9768,0.0025,0.0107,0.0099,498.78
40,Andhra Pradesh Grameena Vikas Bank,2023-07-01 00:00:00,0.9769,0.0036,0.0025,0.0205,9.66
41,Equitas Bank,2024-08-01 00:00:00,0.9769,0.0004,0.0197,0.0034,13.8
44,Rajasthan Marudhara Gramin Bank,2024-05-01 00:00:00,0.977,0.0042,0.0042,0.0188,12.01
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-10-01 00:00:00,0.977,0.0026,0.0107,0.0124,5.26
11,Kotak Mahindra Bank,2022-04-01 00:00:00,0.9771,0.0097,0.006,0.0072,133.77
46,The Cosmos Co-Operative Bank Ltd,2024-05-01 00:00:00,0.9772,0.0058,0.0009,0.022,11.39
25,Karnataka Bank,2024-03-01 00:00:00,0.9772,0.001,0.0146,0.0082,46.73
35,Pragathi Krishna Gramin Bank,2022-06-01 00:00:00,0.9773,0.006,0.0032,0.0135,8.27
19,Indian Overseas Bank,2023-09-01 00:00:00,0.9773,0.0039,0.0042,0.0185,66.65
21,IDBI Bank,2023-08-01 00:00:00,0.9773,0.0023,0.0043,0.0184,57.26
43,RBL,2023-01-01 00:00:00,0.9773,0.0016,0.0133,0.0078,6.98
35,City Union Bank,2024-05-01 00:00:00,0.9773,0,0.02,0.0027,21.65
36,Punjab and Sind Bank,2023-07-01 00:00:00,0.9774,0.0024,0.0018,0.0208,11.66
19,Indian Overseas Bank,2024-03-01 00:00:00,0.9775,0.0057,0.0047,0.0178,87.87
47,Rajasthan Marudhara Gramin Bank,2024-08-01 00:00:00,0.9775,0.0023,0.0051,0.0174,10.52
38,Kerala Gramin Bank,2024-07-01 00:00:00,0.9775,0.0057,0.0085,0.0139,17.02
39,Equitas Bank,2024-06-01 00:00:00,0.9775,0.0017,0.0134,0.0091,13.81
30,AU Small Finance Bank,2022-02-01 00:00:00,0.9776,0.0012,0.0206,0.0006,9.8
21,UCO Bank,2022-03-01 00:00:00,0.9777,0.0046,0.0043,0.0134,33.57
12,Kotak Mahindra Bank,2023-05-01 00:00:00,0.9777,0.0072,0.0047,0.0104,203.15
40,Jammu and Kashmir Bank,2022-07-01 00:00:00,0.9777,0.0006,0.0079,0.0137,6.67
29,AU Small Finance Bank,2022-08-01 00:00:00,0.9777,0.0056,0.0133,0.009,15.1
31,Tamilnad Mercantile Bank,2023-09-01 00:00:00,0.9778,0.0021,0.0023,0.0198,17.86
41,DBS Bank,2023-04-01 00:00:00,0.9778,0.0047,0.0126,0.0049,9.13
26,IDFC First Bank,2024-01-01 00:00:00,0.9778,0.0004,0.0204,0.0018,38.32
43,ESAF Small Finance Bank Ltd,2022-06-01 00:00:00,0.9779,0.0034,0.0025,0.0162,5.32
17,India Post Payment Bank,2023-07-01 00:00:00,0.9779,0.0035,0.0043,0.0178,78.07
47,Andhra Pragathi Grameena Bank,2023-10-01 00:00:00,0.9779,0.0003,0.0056,0.0165,7.09
41,DBS Bank,2024-03-01 00:00:00,0.9779,0.0015,0.0175,0.0046,12.36
50,HSBC Bank,2022-07-01 00:00:00,0.9779,0.0009,0.0191,0.0021,3.79
38,Kerala Gramin Bank,2024-02-01 00:00:00,0.978,0.0097,0.0025,0.0196,14.01
44,Rajasthan Marudhara Gramin Bank,2023-08-01 00:00:00,0.978,0.0021,0.005,0.017,8.71
23,Karnataka Bank,2024-11-01 00:00:00,0.978,0.0018,0.0069,0.0151,57.56
34,City Union Bank,2024-08-01 00:00:00,0.978,0.0001,0.017,0.005,23.98
6,HDFC Bank,2023-12-01 00:00:00,0.978,0.0005,0.0213,0.0006,549.41
