Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
47,Andhra Pragathi Grameena Bank,2023-05-01 00:00:00,0.8976,0.0035,0.0033,0.0956,6.13
48,Andhra Pragathi Grameena Bank,2022-10-01 00:00:00,0.8978,0.0152,0.0162,0.0708,5.56
48,Sarva Haryana Gramin Bank,2022-11-01 00:00:00,0.8996,0.0016,0.0193,0.0794,4.67
49,Baroda Rajasthan Kshetriya Gramin Bank,2023-01-01 00:00:00,0.9005,0.0081,0.023,0.0684,4.64
48,Sarva Haryana Gramin Bank,2023-01-01 00:00:00,0.9027,0.0027,0.0067,0.0879,5.07
14,Indian Bank,2022-02-01 00:00:00,0.9027,0.0175,0.0447,0.0351,62.84
18,India Post Payment Bank,2023-06-01 00:00:00,0.9031,0.0068,0.0055,0.0845,74.36
45,Baroda U.P. Bank,2024-05-01 00:00:00,0.9043,0.027,0.0062,0.0896,11.53
37,Andhra Pradesh Grameena Vikas Bank,2022-08-01 00:00:00,0.9054,0.0264,0.046,0.0487,7.38
24,Karnataka Bank,2022-07-01 00:00:00,0.906,0.0195,0.0084,0.0662,29.07
37,Andhra Pradesh Grameena Vikas Bank,2022-01-01 00:00:00,0.9063,0.0296,0.0016,0.0625,6.04
50,Baroda Rajasthan Kshetriya Gramin Bank,2022-10-01 00:00:00,0.9068,0.0082,0.0205,0.0645,4.6
44,Andhra Pragathi Grameena Bank,2022-04-01 00:00:00,0.9092,0.0253,0.0045,0.0609,4.83
36,Punjab and Sind Bank,2023-10-01 00:00:00,0.9102,0.0058,0.0021,0.0877,13.64
45,Rajasthan Marudhara Gramin Bank,2022-05-01 00:00:00,0.9104,0.0112,0.022,0.0564,5.07
41,Maharashtra Gramin Bank,2022-11-01 00:00:00,0.9106,0.0076,0.0457,0.0362,6.62
17,Central Bank of India,2022-07-01 00:00:00,0.9107,0.0178,0.0096,0.0619,58.88
45,Tri O Tech Solutions Private Limited,2023-05-01 00:00:00,0.9114,0.0001,0.0866,0.0019,7.04
43,Rajasthan Marudhara Gramin Bank,2023-05-01 00:00:00,0.9118,0.0046,0.0192,0.0645,7.82
38,Maharashtra Gramin Bank,2022-02-01 00:00:00,0.9133,0.0053,0.0022,0.0792,5.49
46,Andhra Pragathi Grameena Bank,2022-05-01 00:00:00,0.9138,0.0224,0.002,0.0618,5.03
22,RBL,2023-12-01 00:00:00,0.9143,0.0041,0.003,0.0827,55.75
23,IDFC First Bank,2022-11-01 00:00:00,0.9159,0.005,0.0143,0.0648,37.91
40,Jammu and Kashmir Bank,2022-06-01 00:00:00,0.9175,0.0029,0.0256,0.054,6.36
39,Maharashtra Gramin Bank,2022-08-01 00:00:00,0.9176,0.0156,0.0152,0.0672,6.93
49,Baroda U.P. Bank,2022-05-01 00:00:00,0.9179,0.0023,0.0361,0.0436,4.13
23,Karnataka Bank,2022-06-01 00:00:00,0.9184,0.0148,0.0059,0.0609,28.66
47,Andhra Pragathi Grameena Bank,2023-02-01 00:00:00,0.9188,0.0019,0.0081,0.0712,5.66
26,Fino Payments Bank,2023-02-01 00:00:00,0.9206,0.0147,0.0198,0.0449,21.97
46,Andhra Pragathi Grameena Bank,2022-03-01 00:00:00,0.9216,0.033,0.0137,0.0317,4.78
21,RBL,2024-01-01 00:00:00,0.9229,0.0026,0.0036,0.0735,62.06
49,Andhra Pragathi Grameena Bank,2024-10-01 00:00:00,0.9229,0.0008,0.0083,0.0688,10.42
49,Baroda Rajasthan Kshetriya Gramin Bank,2023-02-01 00:00:00,0.923,0.0045,0.0245,0.048,4.29
22,India Post Payment Bank,2022-06-01 00:00:00,0.9243,0.0041,0.0059,0.0657,34.23
48,Sarva Haryana Gramin Bank,2023-02-01 00:00:00,0.9246,0.0106,0.0067,0.0581,4.75
49,Baroda Rajasthan Kshetriya Gramin Bank,2022-07-01 00:00:00,0.9251,0.0056,0.0209,0.0484,4.01
41,Maharashtra Gramin Bank,2023-05-01 00:00:00,0.9253,0.0067,0.0087,0.0593,8.86
23,IDFC First Bank,2022-09-01 00:00:00,0.9255,0.0071,0.0266,0.0479,34.23
28,Fino Payments Bank,2022-09-01 00:00:00,0.9259,0.0115,0.0245,0.0496,17.75
